NAME10,NativeAmerican,Asian,Black,Hispanic,White,Unknown
Appling,11,49,1877,217,8018,736
Atkinson,9,4,902,356,3193,249
Bacon,5,19,839,94,5207,392
Baker,2,12,913,19,1147,113
Baldwin,34,232,10593,222,13440,1361
Banks,19,109,250,272,10781,906
Barrow,115,1447,6067,2983,38164,4788
Bartow,160,456,6935,2300,55286,6875
Ben Hill,11,58,3317,164,5771,392
Berrien,31,34,1049,159,8885,438
Bibb,216,1325,54439,1170,41563,5724
Bleckley,9,51,1401,44,5393,269
Brantley,20,19,246,58,9701,554
Brooks,17,35,3853,178,6184,601
Bryan,97,464,3808,965,20613,2812
Bulloch,55,331,10648,598,27590,5014
Burke,29,51,7135,143,7447,1247
Butts,50,50,3656,199,11363,1341
Calhoun,1,21,1813,22,1134,145
Camden,79,378,5191,752,20196,6477
Candler,6,20,1272,155,3971,633
Carroll,183,497,13964,1678,57581,7350
Catoosa,85,315,867,451,37035,4950
Charlton,13,29,1175,27,4180,839
Chatham,486,3189,69600,4988,95810,15585
Chattahoochee,5,74,929,258,1955,543
Chattooga,24,46,901,134,11140,1406
Cherokee,295,2438,10433,7183,141656,19436
Clarke,126,1345,19809,2912,41888,7347
Clay,1,3,1055,4,815,88
Clayton,466,5492,134323,8200,20003,18543
Clinch,12,12,1153,30,2762,250
Cobb,1126,17390,138006,29270,286510,39170
Coffee,38,131,6592,881,15546,1411
Colquitt,36,122,5225,1204,15728,1396
Columbia,261,3308,17028,3369,68912,8201
Cook,11,53,2705,186,7092,247
Coweta,117,1103,14137,2441,66755,12312
Crawford,21,23,1471,70,5917,471
Crisp,10,76,4990,92,6583,495
Dade,23,48,44,71,9352,1117
Dawson,51,133,105,373,18626,1576
Decatur,32,57,5986,245,8822,801
DeKalb,1113,16081,273484,14170,164518,47660
Dodge,11,35,2764,66,7596,532
Dooly,5,20,2610,90,2714,205
Dougherty,70,279,38141,462,15077,4487
Douglas,247,1053,45052,3792,38003,9844
Early,7,17,3413,23,3347,258
Echols,12,3,98,166,1719,91
Effingham,118,288,5266,890,32142,4162
Elbert,12,59,3015,139,7989,650
Emanuel,12,39,3783,109,8144,1206
Evans,4,29,1597,133,3774,544
Fannin,58,62,46,149,18218,1057
Fayette,151,2206,20116,2639,52673,10054
Floyd,74,515,7114,1587,42559,5350
Forsyth,334,11514,5074,5627,101528,31812
Franklin,23,91,936,140,12198,993
Fulton,1531,27210,330912,21301,300143,90166
Gilmer,44,78,74,544,19843,1273
Glascock,1,5,126,2,1791,88
Glynn,121,583,12598,1227,39765,4936
Gordon,85,275,1354,1937,29048,2764
Grady,28,53,4131,285,9582,882
Greene,10,85,3666,179,8926,818
Gwinnett,1311,53045,152503,51356,227457,58326
Habersham,39,371,592,1104,23575,2116
Hall,193,1565,8042,12020,84903,14575
Hancock,5,9,3867,12,1462,311
Haralson,37,101,780,109,17550,1166
Harris,36,202,3567,436,18569,1540
Hart,18,136,2327,124,12670,934
Heard,15,29,663,45,6348,428
Henry,270,3362,73835,5314,63568,15294
Houston,193,2129,30386,2502,57578,7249
Irwin,10,23,1389,60,4354,206
Jackson,66,733,3021,1728,40116,4199
Jasper,12,25,1760,116,7785,302
Jeff Davis,9,27,1184,236,6322,389
Jefferson,11,23,5572,41,4523,839
Jenkins,5,12,1717,21,2765,375
Johnson,3,19,1658,13,3636,198
